Island Girl,The Ultimate Pop Rock Fake Book,143,1

If I Can't Have You,The Ultimate Pop Rock Fake Book,144,1

If I had a Hammer,The Ultimate Pop Rock Fake Book,144,1

If You Wanna Be Happy,The Ultimate Pop Rock Fake Book,145,1

If You Love Somebody Set Them Freee,The Ultimate Pop Rock Fake Book,146,1

Itsy Bitsy Teenie Weenie Yellow Dot Bikini,The Ultimate Pop Rock Fake Book,147,1

Islands in the Stream,The Ultimate Pop Rock Fake Book,148,1

It's Now or Never,The Ultimate Pop Rock Fake Book,148,2

If I were a carpenter,The Ultimate Pop Rock Fake Book,150,1

Joy to the World,The Ultimate Pop Rock Fake Book,150,1

It's All in the Game,The Ultimate Pop Rock Fake Book,151,1

It's Just a Matter of Time,The Ultimate Pop Rock Fake Book,152,1

Jenny Take a Ride,The Ultimate Pop Rock Fake Book,152,1

Jive Talking,The Ultimate Pop Rock Fake Book,153,1

Johnny B Good,The Ultimate Pop Rock Fake Book,154,1

Kepp on Dancing,The Ultimate Pop Rock Fake Book,154,1

Kansas City,The Ultimate Pop Rock Fake Book,155,1

Kisses Sweeter than Wine,The Ultimate Pop Rock Fake Book,155,1

King of the Road,The Ultimate Pop Rock Fake Book,156,1

Knock Three Times,The Ultimate Pop Rock Fake Book,156,1

Lets Think about Living,The Ultimate Pop Rock Fake Book,157,1

King of Pain,The Ultimate Pop Rock Fake Book,158,2

Land of a Thousand Dances,The Ultimate Pop Rock Fake Book,160,1

Last Date,The Ultimate Pop Rock Fake Book,160,1

Lonely Boy,The Ultimate Pop Rock Fake Book,161,1

Last Kiss,The Ultimate Pop Rock Fake Book,162,1

Lil Red Riding Hood,The Ultimate Pop Rock Fake Book,163,1

Laughter in the Rain,The Ultimate Pop Rock Fake Book,164,1

Lay Down Candles in the Rain,The Ultimate Pop Rock Fake Book,164,1

Lay Down Sally,The Ultimate Pop Rock Fake Book,165,1

Layla,The Ultimate Pop Rock Fake Book,166,1

Let the Little Girl Dance,The Ultimate Pop Rock Fake Book,166,1

Let Me In,The Ultimate Pop Rock Fake Book,167,1

Let the Good Times Roll,The Ultimate Pop Rock Fake Book,168,1

Love is All Around,The Ultimate Pop Rock Fake Book,168,1

Lolipop,The Ultimate Pop Rock Fake Book,169,1

Lets Twist Again,The Ultimate Pop Rock Fake Book,170,1

Love Grows Where Rosemary Goes,The Ultimate Pop Rock Fake Book,170,1

Lion Sleeps Tonight,The Ultimate Pop Rock Fake Book,171,1

Little Bitty Pretty One,The Ultimate Pop Rock Fake Book,172,1

Lonesome Loser,The Ultimate Pop Rock Fake Book,172,1

Long Tall Sally,The Ultimate Pop Rock Fake Book,173,1

Little Children,The Ultimate Pop Rock Fake Book,174,1

Lola,The Ultimate Pop Rock Fake Book,174,2

Little Jeannie,The Ultimate Pop Rock Fake Book,176,1

Lovers Question,The Ultimate Pop Rock Fake Book,177,1

Long Cool Women in a black dress,The Ultimate Pop Rock Fake Book,178,1

Love Will Kepp Us Together,The Ultimate Pop Rock Fake Book,179,1

Love Can Make You Happy,The Ultimate Pop Rock Fake Book,180,1

Lovers Who Wander,The Ultimate Pop Rock Fake Book,180,1

Love Me Tender,The Ultimate Pop Rock Fake Book,181,1

Love So Right,The Ultimate Pop Rock Fake Book,182,1

Mandy,The Ultimate Pop Rock Fake Book,183,1

Maggie May,The Ultimate Pop Rock Fake Book,184,1

Memphis TN,The Ultimate Pop Rock Fake Book,184,1

